userId,age,gender,country,positive,negative,mixed,cluster,medoid
11,3.5206838337837865,2.021722956442927,1.7874048008113603,"['57726e34edc2cb3880b62340', '57726f59edc2cb3880ba76b3', '57726f59edc2cb3880ba76b3', '57726f59edc2cb3880ba76b3', '57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4', '57727015edc2cb3880bceb08', '57727015edc2cb3880bceb08', '57727cbaedc2cb3880e561f7', '57727015edc2cb3880bceb08', '57727015edc2cb3880bceb08', '57726f77edc2cb3880baa4c5']","['57726e34edc2cb3880b62340', '57726e45edc2cb3880b69781', '57726e45edc2cb3880b69781', '57726e45edc2cb3880b69781', '57726f49edc2cb3880ba034f', '57726f49edc2cb3880ba034f', '57726f49edc2cb3880ba034f', '57726f49edc2cb3880ba034f', '57726f49edc2cb3880ba034f', '57726e37edc2cb3880b628ee', '57726e37edc2cb3880b628ee', '57726e37edc2cb3880b628ee', '57727cbaedc2cb3880e561f7', '57727cbaedc2cb3880e561f7', '57727cbaedc2cb3880e561f7', '57727cbaedc2cb3880e561f7', '57726f49edc2cb3880ba034f', '57726f49edc2cb3880ba034f', '57726f49edc2cb3880ba034f', '57726e45edc2cb3880b69781', '57726e37edc2cb3880b628ee', '57726e37edc2cb3880b628ee']","['57726e34edc2cb3880b62340', '57726f59edc2cb3880ba76b3', '57726f77edc2cb3880baa4c5', '57726f77edc2cb3880baa4c5', '57726f77edc2cb3880baa4c5', '57727cbaedc2cb3880e561f7', '57726e34edc2cb3880b62340', '57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4']",0,-1.0
12,4.694245111711715,0.0,2.5023667211359046,['57726f59edc2cb3880ba76b3'],[],[],1,-1.0
13,0.5867806389639644,2.021722956442927,3.5748096016227207,['57727015edc2cb3880bceb08'],['57727015edc2cb3880bceb08'],['57726e45edc2cb3880b69781'],0,-1.0
14,1.1735612779279287,2.021722956442927,1.7874048008113603,"['57726f59edc2cb3880ba76b3', '57727015edc2cb3880bceb08', '57727015edc2cb3880bceb08']",['57726f4fedc2cb3880ba0b6d'],['57726f59edc2cb3880ba76b3'],0,-1.0
15,2.347122555855857,0.0,0.3574809601622721,"['57726e34edc2cb3880b62340', '57726e34edc2cb3880b62340', '57726e34edc2cb3880b62340', '57726f59edc2cb3880ba76b3', '57726f59edc2cb3880ba76b3', '57726f59edc2cb3880ba76b3', '57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4', '57726f78edc2cb3880baa755', '57726f78edc2cb3880baa755', '57726f78edc2cb3880baa755', '57727015edc2cb3880bceb28', '57727015edc2cb3880bceb28', '57726f77edc2cb3880baa4c5', '57726f77edc2cb3880baa4c5']","['57726e45edc2cb3880b69781', '57726e45edc2cb3880b69781', '57726e45edc2cb3880b69781', '57726e45edc2cb3880b69781', '57726f49edc2cb3880ba034f', '57726f49edc2cb3880ba034f', '57726f49edc2cb3880ba034f', '57726f77edc2cb3880baa4c5', '57726f48edc2cb3880ba012f', '57727071edc2cb3880be3213', '57726fffedc2cb3880bc69d6', '57726fffedc2cb3880bc69d6', '57727cbaedc2cb3880e561f7', '57727cbaedc2cb3880e561f7', '57727cbaedc2cb3880e561f7', '57726f59edc2cb3880ba76b3', '57726fffedc2cb3880bc69d6', '57726f78edc2cb3880baa755', '57726f78edc2cb3880baa755']","['57726f77edc2cb3880baa4c5', '57727cbaedc2cb3880e561f7', '57726e34edc2cb3880b62340', '57727015edc2cb3880bceb28']",1,-1.0
16,2.933903194819822,2.021722956442927,1.7874048008113603,"['57726f59edc2cb3880ba76b3', '57726f59edc2cb3880ba76b3', '57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4', '57727015edc2cb3880bceb28', '577278cdedc2cb3880d9370c', '577278cdedc2cb3880d9370c', '577278cdedc2cb3880d9370c', '57727c95edc2cb3880e4d1d4']","['57726e45edc2cb3880b69781', '57726e45edc2cb3880b69781', '57726f59edc2cb3880ba76b3']","['57726e45edc2cb3880b69781', '57726f59edc2cb3880ba76b3']",0,-1.0
17,3.5206838337837865,0.0,2.5023667211359046,"['57726f59edc2cb3880ba76b3', '57726f59edc2cb3880ba76b3', '57726f59edc2cb3880ba76b3', '57727071edc2cb3880be3213', '57727015edc2cb3880bceb08', '57727015edc2cb3880bceb08', '57727015edc2cb3880bceb08', '57727015edc2cb3880bceb08', '57727cbaedc2cb3880e561f7']","['57727cbaedc2cb3880e561f7', '57727cbaedc2cb3880e561f7', '57727cbaedc2cb3880e561f7', '57727cbaedc2cb3880e561f7', '57727071edc2cb3880be3213']","['57727071edc2cb3880be3213', '57727cbaedc2cb3880e561f7', '57727015edc2cb3880bceb08', '57726f59edc2cb3880ba76b3']",1,-1.0
18,3.5206838337837865,2.021722956442927,1.7874048008113603,"['57726f78edc2cb3880baa755', '57727015edc2cb3880bceb28']","['57726e45edc2cb3880b69781', '57727cbaedc2cb3880e561f7', '57726f78edc2cb3880baa755', '57726e45edc2cb3880b69781', '57727015edc2cb3880bceb28', '57726e45edc2cb3880b69781', '57726f78edc2cb3880baa755']","['57726f78edc2cb3880baa755', '57726f78edc2cb3880baa755']",0,-1.0
19,4.694245111711715,2.021722956442927,1.7874048008113603,"['5772752eedc2cb3880cd9f38', '57727c2eedc2cb3880e39405', '57727c2eedc2cb3880e39405']","['57726e37edc2cb3880b628ee', '57727015edc2cb3880bceb08', '5772752eedc2cb3880cd9f38']","['57727015edc2cb3880bceb08', '57726e37edc2cb3880b628ee']",0,-1.0
20,3.5206838337837865,0.0,1.7874048008113603,"['5772752eedc2cb3880cd9f38', '57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4', '57726f59edc2cb3880ba76b3', '57726f59edc2cb3880ba76b3', '57727c95edc2cb3880e4d1d4', '57727cbaedc2cb3880e561f7', '57727015edc2cb3880bceb08', '57727015edc2cb3880bceb08', '57726f78edc2cb3880baa755', '57727c95edc2cb3880e4d1d4', '5772700eedc2cb3880bc82ce']","['5772700eedc2cb3880bc82ce', '5772700eedc2cb3880bc82ce', '57726e45edc2cb3880b69781', '57726e45edc2cb3880b69781', '57726f4fedc2cb3880ba0b6d', '57726f4fedc2cb3880ba0b6d', '57727015edc2cb3880bceb08', '57727cbaedc2cb3880e561f7']","['57726f78edc2cb3880baa755', '57727cbaedc2cb3880e561f7', '57727c95edc2cb3880e4d1d4', '5772752eedc2cb3880cd9f38', '57726f4fedc2cb3880ba0b6d', '57726f59edc2cb3880ba76b3']",1,-1.0
